,index,name,base_name,Label Name,network,Full Component Name,hemisphere,component
0,1.0,17Networks_LH_VisCent_ExStr_1,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
1,2.0,17Networks_LH_VisCent_ExStr_2,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
2,4.0,17Networks_LH_VisCent_ExStr_3,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
3,5.0,17Networks_LH_VisCent_ExStr_4,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
4,6.0,17Networks_LH_VisCent_ExStr_5,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
5,3.0,17Networks_LH_VisCent_Striate_1,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L,
6,7.0,17Networks_LH_VisPeri_ExStrInf_1,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L,
7,8.0,17Networks_LH_VisPeri_ExStrInf_2,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L,
8,9.0,17Networks_LH_VisPeri_ExStrInf_3,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L,
9,10.0,17Networks_LH_VisPeri_StriCal_1,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L,
10,11.0,17Networks_LH_VisPeri_ExStrSup_1,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L,
11,12.0,17Networks_LH_VisPeri_ExStrSup_2,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L,
12,13.0,17Networks_LH_SomMotA_1,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
13,14.0,17Networks_LH_SomMotA_2,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
14,15.0,17Networks_LH_SomMotA_3,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
15,16.0,17Networks_LH_SomMotA_4,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
16,17.0,17Networks_LH_SomMotA_5,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
17,18.0,17Networks_LH_SomMotA_6,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
18,19.0,17Networks_LH_SomMotA_7,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
19,20.0,17Networks_LH_SomMotA_8,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L,
20,21.0,17Networks_LH_SomMotB_Aud_1,17networks_lh_sommotb_aud,17networks_lh_sommotb_aud,somatomotor B,auditory,L,
21,22.0,17Networks_LH_SomMotB_Aud_2,17networks_lh_sommotb_aud,17networks_lh_sommotb_aud,somatomotor B,auditory,L,
22,25.0,17Networks_LH_SomMotB_Aud_3,17networks_lh_sommotb_aud,17networks_lh_sommotb_aud,somatomotor B,auditory,L,
23,23.0,17Networks_LH_SomMotB_S2_1,17networks_lh_sommotb_s2,17networks_lh_sommotb_s2,somatomotor B,S2,L,
24,24.0,17Networks_LH_SomMotB_S2_2,17networks_lh_sommotb_s2,17networks_lh_sommotb_s2,somatomotor B,S2,L,
