index	name
1	L_V1
2	L_V2
3	L_V3
4	L_V4
5	L_IPS1
6	L_V3A
7	L_V3B
8	L_V6
9	L_V6A
10	L_V7
11	L_FFC
12	L_PIT
13	L_V8
14	L_VMV1
15	L_VMV2
16	L_VMV3
17	L_VVC
18	L_FST
19	L_LO1
20	L_LO2
21	L_LO3
22	L_MST
23	L_MT
24	L_PH
25	L_V3CD
26	L_V4t
27	L_1
28	L_2
29	L_3a
30	L_3b
31	L_4
32	L_23c
33	L_24dd
34	L_24dv
35	L_5L
36	L_5m
37	L_5mv
38	L_6ma
39	L_6mp
40	L_SCEF
41	L_55b
42	L_6a
43	L_6d
44	L_6r
45	L_6v
46	L_FEF
47	L_PEF
48	L_43
49	L_FOP1
50	L_OP1
51	L_OP2-3
52	L_OP4
53	L_52
54	L_A1
55	L_LBelt
56	L_MBelt
57	L_PBelt
58	L_PFcm
59	L_RI
60	L_A4
61	L_A5
62	L_STGa
63	L_STSda
64	L_STSdp
65	L_STSva
66	L_STSvp
67	L_TA2
68	L_AAIC
69	L_AVI
70	L_FOP2
71	L_FOP3
72	L_FOP4
73	L_FOP5
74	L_Ig
75	L_MI
76	L_PI
77	L_Pir
78	L_PoI1
79	L_PoI2
80	L_Hipp
81	L_PreS
82	L_EC
83	L_PeEc
84	L_TF
85	L_PHA1
86	L_PHA2
87	L_PHA3
88	L_PHT
89	L_TE1a
90	L_TE1m
91	L_TE1p
92	L_TE2a
93	L_TE2p
94	L_TGd
95	L_TGv
96	L_PSL
97	L_STV
98	L_TPOJ1
99	L_TPOJ2
100	L_TPOJ3
101	L_7AL
102	L_7Am
103	L_7PC
104	L_7PL
105	L_7Pm
106	L_AIP
107	L_LIPd
108	L_LIPv
109	L_MIP
110	L_VIP
111	L_IP0
112	L_IP1
113	L_IP2
114	L_PF
115	L_PFm
116	L_PFop
117	L_PFt
118	L_PGi
119	L_PGp
120	L_PGs
121	L_23d
122	L_31a
123	L_31pd
124	L_31pv
125	L_7m
126	L_d23ab
127	L_DVT
128	L_PCV
129	L_POS1
130	L_POS2
131	L_ProS
132	L_RSC
133	L_v23ab
134	L_10r
135	L_10v
136	L_25
137	L_33pr
138	L_8BM
139	L_9m
140	L_a24
141	L_a24pr
142	L_a32pr
143	L_d32
144	L_p24
145	L_p24pr
146	L_p32
147	L_p32pr
148	L_pOFC
149	L_s32
150	L_10d
151	L_10pp
152	L_11l
153	L_13l
154	L_47m
155	L_47s
156	L_a10p
157	L_OFC
158	L_p10p
159	L_44
160	L_45
161	L_47l
162	L_a47r
163	L_IFJa
164	L_IFJp
165	L_IFSa
166	L_IFSp
167	L_p47r
168	L_46
169	L_8Ad
170	L_8Av
171	L_8BL
172	L_8C
173	L_9-46d
174	L_9a
175	L_9p
176	L_a9-46v
177	L_i6-8
178	L_p9-46v
179	L_s6-8
180	L_SFL
181	R_V1
182	R_V2
183	R_V3
184	R_V4
185	R_IPS1
186	R_V3A
187	R_V3B
188	R_V6
189	R_V6A
190	R_V7
191	R_FFC
192	R_PIT
193	R_V8
194	R_VMV1
195	R_VMV2
196	R_VMV3
197	R_VVC
198	R_FST
199	R_LO1
200	R_LO2
201	R_LO3
202	R_MST
203	R_MT
204	R_PH
205	R_V3CD
206	R_V4t
207	R_1
208	R_2
209	R_3a
210	R_3b
211	R_4
212	R_23c
213	R_24dd
214	R_24dv
215	R_5L
216	R_5m
217	R_5mv
218	R_6ma
219	R_6mp
220	R_SCEF
221	R_55b
222	R_6a
223	R_6d
224	R_6r
225	R_6v
226	R_FEF
227	R_PEF
228	R_43
229	R_FOP1
230	R_OP1
231	R_OP2-3
232	R_OP4
233	R_52
234	R_A1
235	R_LBelt
236	R_MBelt
237	R_PBelt
238	R_PFcm
239	R_RI
240	R_A4
241	R_A5
242	R_STGa
243	R_STSda
244	R_STSdp
245	R_STSva
246	R_STSvp
247	R_TA2
248	R_AAIC
249	R_AVI
250	R_FOP2
251	R_FOP3
252	R_FOP4
253	R_FOP5
254	R_Ig
255	R_MI
256	R_PI
257	R_Pir
258	R_PoI1
259	R_PoI2
260	R_Hipp
261	R_PreS
262	R_EC
263	R_PeEc
264	R_TF
265	R_PHA1
266	R_PHA2
267	R_PHA3
268	R_PHT
269	R_TE1a
270	R_TE1m
271	R_TE1p
272	R_TE2a
273	R_TE2p
274	R_TGd
275	R_TGv
276	R_PSL
277	R_STV
278	R_TPOJ1
279	R_TPOJ2
280	R_TPOJ3
281	R_7AL
282	R_7Am
283	R_7PC
284	R_7PL
285	R_7Pm
286	R_AIP
287	R_LIPd
288	R_LIPv
289	R_MIP
290	R_VIP
291	R_IP0
292	R_IP1
293	R_IP2
294	R_PF
295	R_PFm
296	R_PFop
297	R_PFt
298	R_PGi
299	R_PGp
300	R_PGs
301	R_23d
302	R_31a
303	R_31pd
304	R_31pv
305	R_7m
306	R_d23ab
307	R_DVT
308	R_PCV
309	R_POS1
310	R_POS2
311	R_ProS
312	R_RSC
313	R_v23ab
314	R_10r
315	R_10v
316	R_25
317	R_33pr
318	R_8BM
319	R_9m
320	R_a24
321	R_a24pr
322	R_a32pr
323	R_d32
324	R_p24
325	R_p24pr
326	R_p32
327	R_p32pr
328	R_pOFC
329	R_s32
330	R_10d
331	R_10pp
332	R_11l
333	R_13l
334	R_47m
335	R_47s
336	R_a10p
337	R_OFC
338	R_p10p
339	R_44
340	R_45
341	R_47l
342	R_a47r
343	R_IFJa
344	R_IFJp
345	R_IFSa
346	R_IFSp
347	R_p47r
348	R_46
349	R_8Ad
350	R_8Av
351	R_8BL
352	R_8C
353	R_9-46d
354	R_9a
355	R_9p
356	R_a9-46v
357	R_i6-8
358	R_p9-46v
359	R_s6-8
360	R_SFL
361	L_AV
362	L_CeM
363	L_CL
364	L_CM
365	L_LD
366	L_LGN
367	L_LP
368	L_L-Sg
369	L_MDl
370	L_MDm
371	L_MGN
372	L_MV(Re)
373	L_Pf
374	L_PuA
375	L_PuI
376	L_PuL
377	L_PuM
378	L_VA
379	L_VLa
380	L_VLp
381	L_VPL
382	L_Putam
383	L_Caud
384	L_NAc
385	L_Gpe
386	L_Gpi
387	L_Amyg
388	L_SNpc
389	L_SNpr
390	L_VTA
391	L_MB
392	L_Septum
393	L_Nb
394	R_AV
395	R_CeM
396	R_CL
397	R_CM
398	R_LD
399	R_LGN
400	R_LP
401	R_L-Sg
402	R_MDl
403	R_MDm
404	R_MGN
405	R_MV(Re)
406	R_Pf
407	R_PuA
408	R_PuI
409	R_PuL
410	R_PuM
411	R_VA
412	R_VLa
413	R_VLp
414	R_VPL
415	R_Putam
416	R_Caud
417	R_NAc
418	R_Gpe
419	R_Gpi
420	R_Amyg
421	R_SNpc
422	R_SNpr
423	R_VTA
424	R_MB
425	R_Septum
426	R_Nb
